Rozladowanie po 'x' iteracjach,Max Czas Oczekiwania,Sredni czas zielonego,Czas obslugi
24,452,30,720,
22,462,30,660,
23,411,30,690,
26,456,30,780,
24,416,30,720,
26,403,30,780,
21,462,30,630,
28,419,30,840,
22,408,30,660,
22,458,30,660,
20,409,30,600,
26,456,30,780,
23,414,30,690,
24,414,30,720,
19,417,30,570,
26,402,30,780,
22,398,30,660,
21,452,30,630,
25,412,30,750,
22,404,30,660,
23,427,30,690,
22,454,30,660,
24,457,30,720,
20,415,30,600,
22,419,30,660,
21,456,30,630,
20,427,30,600,
22,452,30,660,
22,458,30,660,
22,417,30,660,
22,456,30,660,
23,414,30,690,
20,403,30,600,
28,467,30,840,
22,422,30,660,
24,456,30,720,
22,457,30,660,
28,463,30,840,
24,457,30,720,
21,404,30,630,
30,460,30,900,
22,458,30,660,
20,415,30,600,
25,453,30,750,
25,458,30,750,
25,422,30,750,
28,454,30,840,
24,471,30,720,
25,405,30,750,
18,422,30,540,
28,459,30,840,
22,512,30,660,
24,423,30,720,
22,463,30,660,
22,417,30,660,
20,415,30,600,
25,453,30,750,
22,416,30,660,
20,452,30,600,
22,397,30,660,
24,463,30,720,
27,422,30,810,
25,458,30,750,
24,460,30,720,
27,431,30,810,
18,427,30,540,
20,455,30,600,
20,412,30,600,
22,422,30,660,
21,410,30,630,
24,456,30,720,
25,452,30,750,
20,418,30,600,
27,427,30,810,
26,452,30,780,
22,411,30,660,
20,422,30,600,
24,429,30,720,
22,465,30,660,
24,455,30,720,
26,425,30,780,
27,422,30,810,
22,406,30,660,
25,427,30,750,
20,414,30,600,
26,473,30,780,
24,417,30,720,
20,454,30,600,
23,410,30,690,
32,465,30,960,
22,462,30,660,
32,456,30,960,
24,457,30,720,
24,409,30,720,
22,411,30,660,
16,398,30,480,
22,454,30,660,
20,418,30,600,
32,406,30,960,
28,458,30,840,
