Lp.,  #up,#down,#lewo,#prawo,    stan,   up.time, down.time, left.time,right.time, GreenTime         
  0,  100,    0,    1,    0,   poziom,         1,         0,         2,         0,        30         
  1,  104,    0,    1,    0,     pion,         1,         0,         2,         0,        30         
  2,   92,    2,    1,    0,   poziom,         3,         1,         2,         0,        30         
  3,   93,    5,    1,    1,     pion,         3,         1,         1,         2,        30         
  4,   80,    1,    4,    2,   poziom,         2,         5,         1,         2,        30         
  5,   84,    1,    0,    2,     pion,         2,         5,         0,         3,        30         
  6,   72,    3,    1,    2,   poziom,         2,         5,         1,         3,        30         
  7,   75,    3,    3,    3,     pion,         2,         5,         1,         2,        30         
  8,   67,    0,    5,    3,   poziom,         3,         0,         1,         2,        30         
  9,   69,    3,    1,    3,     pion,         3,         4,         2,         5,        30         
 10,   58,    3,    4,    3,   poziom,         1,         2,         2,         5,        30         
 11,   59,    5,    2,    4,     pion,         1,         2,         5,         2,        30         
 12,   47,    4,    2,    4,   poziom,         3,         2,         5,         2,        30         
 13,   48,    6,    4,    0,     pion,         3,         2,         1,         0,        30         
 14,   34,    0,    4,    1,   poziom,         1,         0,         1,         5,        30         
 15,   34,    4,    2,    3,     pion,         1,         3,         5,         1,        30         
 16,   20,    0,    2,    6,   poziom,         4,         0,         5,         1,        30         
 17,   20,    2,    4,    1,     pion,         4,         4,         3,         4,        30         
 18,   10,    3,    5,    5,   poziom,         1,         4,         3,         4,        30         
 19,   11,    6,    1,    2,     pion,         1,         4,         4,         4,        30         
 20,    4,    4,    3,    6,   poziom,         3,         4,         4,         4,        30         
 21,    8,    4,    2,    4,     pion,         3,         4,         1,         4,        30         
 22,    3,    2,    4,    8,   poziom,         5,         3,         1,         4,        30         
 23,    6,    3,    2,    3,     pion,         5,         3,         4,         4,        30         
 24,    0,    4,    6,    3,   poziom,         0,         2,         4,         4,        30         
 25,    3,    8,    0,    4,     pion,         2,         2,         0,         2,        30         
 26,    2,    4,    1,    7,   poziom,         2,         5,         2,         2,        30         
 27,    3,    8,    0,    2,     pion,         2,         5,         0,         3,        30         
 28,    2,    0,    2,    5,     pion,         2,         0,         5,         3,        30         
