Rozladowanie po 'x' iteracjach,Max Czas Oczekiwania,Sredni czas zielonego,Czas obslugi
28,424,30,840,
24,427,30,720,
22,453,30,660,
26,458,30,780,
22,413,30,660,
28,454,30,840,
20,419,30,600,
20,455,30,600,
22,426,30,660,
22,412,30,660,
21,404,30,630,
22,425,30,660,
29,463,30,870,
25,456,30,750,
26,452,30,780,
22,407,30,660,
22,410,30,660,
26,423,30,780,
26,412,30,780,
24,415,30,720,
24,452,30,720,
18,406,30,540,
26,453,30,780,
23,413,30,690,
27,400,30,810,
21,453,30,630,
21,417,30,630,
26,401,30,780,
20,405,30,600,
24,452,30,720,
22,424,30,660,
22,428,30,660,
22,457,30,660,
18,411,30,540,
22,427,30,660,
24,457,30,720,
20,412,30,600,
24,454,30,720,
26,469,30,780,
23,431,30,690,
28,452,30,840,
24,467,30,720,
21,412,30,630,
26,459,30,780,
22,422,30,660,
24,429,30,720,
23,462,30,690,
26,458,30,780,
25,464,30,750,
18,410,30,540,
20,414,30,600,
24,453,30,720,
22,416,30,660,
23,400,30,690,
22,452,30,660,
25,423,30,750,
23,463,30,690,
24,436,30,720,
22,452,30,660,
22,452,30,660,
28,463,30,840,
22,466,30,660,
20,404,30,600,
27,424,30,810,
20,410,30,600,
24,454,30,720,
22,452,30,660,
20,415,30,600,
22,455,30,660,
24,452,30,720,
26,415,30,780,
20,422,30,600,
22,452,30,660,
26,452,30,780,
26,455,30,780,
22,414,30,660,
24,469,30,720,
18,457,30,540,
27,464,30,810,
22,469,30,660,
26,419,30,780,
28,416,30,840,
22,456,30,660,
18,395,30,540,
26,455,30,780,
20,404,30,600,
24,462,30,720,
19,400,30,570,
23,452,30,690,
21,411,30,630,
29,413,30,870,
24,422,30,720,
22,410,30,660,
29,463,30,870,
22,418,30,660,
24,424,30,720,
24,452,30,720,
21,400,30,630,
29,469,30,870,
18,463,30,540,
