Lp.,  #up,#down,#lewo,#prawo,    stan,   up.time, down.time, left.time,right.time, GreenTime         
  0,  100,    0,    1,    0,   poziom,         1,         0,         1,         0,        30         
  1,  100,    4,    0,    1,     pion,         1,         3,         0,         3,        30         
  2,   87,    1,    0,    5,   poziom,         1,         5,         0,         3,        30         
  3,   91,    1,    0,    4,     pion,         1,         5,         0,         2,        30         
  4,   82,    4,    2,    8,   poziom,         1,         5,         5,         2,        30         
  5,   82,    5,    1,    3,     pion,         1,         5,         5,         4,        30         
  6,   72,    4,    2,    3,   poziom,         3,         5,         5,         4,        30         
  7,   73,    4,    2,    0,     pion,         3,         5,         2,         0,        30         
  8,   61,    4,    5,    1,   poziom,         3,         1,         2,         1,        30         
  9,   64,    4,    3,    3,     pion,         3,         1,         5,         4,        30         
 10,   51,    0,    3,    4,   poziom,         2,         0,         5,         4,        30         
 11,   51,    2,    2,    0,     pion,         2,         1,         5,         0,        30         
 12,   36,    3,    6,    4,   poziom,         3,         2,         5,         5,        30         
 13,   37,    6,    2,    2,     pion,         3,         2,         3,         5,        30         
 14,   24,    3,    4,    3,   poziom,         3,         1,         3,         5,        30         
 15,   25,    7,    1,    0,     pion,         3,         1,         4,         0,        30         
 16,   14,    1,    5,    2,   poziom,         4,         4,         4,         3,        30         
 17,   14,    5,    4,    2,     pion,         4,         4,         4,         4,        30         
 18,    5,    2,    5,    2,     pion,         1,         3,         4,         4,        30         
